index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,9848873,6419434,4323783,12656662928,2.3316,2.02292,2.08224
BTree,1064436,1072078,1069491,2365596448,0.954281,0.949192,0.948024,LinearSearch,8
BTree,486376,479677,481478,2762897224,0.737753,0.765039,0.760532,InterpolationSearch,10
BTree,880217,876748,872329,2513462456,1.05022,1.06836,1.05193,LinearSearch,6
DynamicPGM,3000585,3167550,3100849,1700494188,3.30116,3.3945,3.52061,BinarySearch,512
DynamicPGM,3867169,3824736,3982570,1705154448,3.70218,3.81318,3.49878,BinarySearch,64
DynamicPGM,3361852,3317498,3371931,1702518268,3.7662,3.77991,3.65886,BinarySearch,128
DynamicPGM,3259830,3261776,3193431,1700494188,2.67911,2.73661,2.55199,BinarySearch,512
DynamicPGM,3705861,3766157,3613064,1705154448,2.84474,2.96331,3.16565,BinarySearch,64
DynamicPGM,3412895,3484361,3495093,1702518268,2.91516,3.00983,2.97264,BinarySearch,128
LIPP,9656115,8007143,5562830,12656662928,1.80951,1.68444,1.62288
Hybrid,10077549,8140523,6345378,12538258780,3.04098,3.2259,3.02384
